time,event,delta,cumulative,at_capacity
2025-09-01 18:26:16.170,departure,-1,1199,True
2025-09-01 18:26:21.296,departure,-1,1198,True
2025-09-01 18:26:22.512,arrival,1,1199,True
2025-09-01 18:29:37.100,departure,-1,1198,True
2025-09-01 18:29:48.769,arrival,1,1199,True
2025-09-01 18:29:51.264,arrival,1,1200,True
2025-09-01 18:30:02.208,departure,-1,1199,True
2025-09-01 18:31:07.917,departure,-1,1198,True
2025-09-01 18:35:19.471,departure,-1,1197,True
2025-09-01 18:36:44.036,departure,-1,1196,True
2025-09-01 18:40:11.975,arrival,1,1197,True
2025-09-01 18:40:19.814,departure,-1,1196,True
2025-09-01 18:42:52.752,departure,-1,1195,True
2025-09-01 18:47:11.644,arrival,1,1196,True
2025-09-01 18:47:32.112,arrival,1,1197,True
2025-09-01 18:47:34.312,departure,-1,1196,True
2025-09-01 18:48:25.718,arrival,1,1197,True
2025-09-01 18:51:59.801,departure,-1,1196,True
2025-09-01 18:53:10.122,arrival,1,1197,True
2025-09-01 18:53:41.920,arrival,1,1198,True
2025-09-01 18:53:45.118,arrival,1,1199,True
2025-09-01 18:54:19.716,departure,-1,1198,True
2025-09-01 18:56:36.838,arrival,1,1199,True
2025-09-01 18:58:58.998,arrival,1,1200,True
2025-09-01 19:05:06.458,arrival,1,1201,True
2025-09-01 19:06:37.218,arrival,1,1202,True
2025-09-01 19:07:31.403,departure,-1,1201,True
2025-09-01 19:09:04.785,arrival,1,1202,True
2025-09-01 19:09:15.401,departure,-1,1201,True
2025-09-01 19:12:52.865,arrival,1,1202,True
2025-09-01 19:14:17.926,departure,-1,1201,True
2025-09-01 19:14:51.545,departure,-1,1200,True
2025-09-01 19:15:09.707,departure,-1,1199,True
2025-09-01 19:15:50.654,departure,-1,1198,True
2025-09-01 19:17:15.880,departure,-1,1197,True
2025-09-01 19:18:25.551,departure,-1,1196,True
2025-09-01 19:18:47.991,arrival,1,1197,True
2025-09-01 19:19:28.480,departure,-1,1196,True
2025-09-01 19:20:11.701,departure,-1,1195,True
2025-09-01 19:20:43.643,arrival,1,1196,True
2025-09-01 19:21:05.586,arrival,1,1197,True
2025-09-01 19:21:13.730,arrival,1,1198,True
2025-09-01 19:30:20.048,arrival,1,1199,True
2025-09-01 19:30:53.975,arrival,1,1200,True
2025-09-01 19:31:13.208,arrival,1,1201,True
2025-09-01 19:31:26.456,arrival,1,1202,True
2025-09-01 19:33:41.691,arrival,1,1203,True
2025-09-01 19:35:17.549,arrival,1,1204,True
2025-09-01 19:39:11.649,arrival,1,1205,True
2025-09-01 19:39:30.244,arrival,1,1206,True
2025-09-01 19:39:32.021,arrival,1,1207,True
2025-09-01 19:39:49.423,arrival,1,1208,True
2025-09-01 19:40:44.496,departure,-1,1207,True
2025-09-01 19:43:30.315,arrival,1,1208,True
2025-09-01 19:43:32.749,arrival,1,1209,True
2025-09-01 19:46:25.475,departure,-1,1208,True
2025-09-01 19:49:58.236,departure,-1,1207,True
2025-09-01 19:50:02.552,arrival,1,1208,True
2025-09-01 19:50:29.012,departure,-1,1207,True
2025-09-01 19:50:34.736,departure,-1,1206,True
2025-09-01 19:51:02.716,departure,-1,1205,True
2025-09-01 19:51:16.784,departure,-1,1204,True
2025-09-01 19:54:01.786,departure,-1,1203,True
2025-09-01 19:54:26.462,arrival,1,1204,True
2025-09-01 19:54:49.191,departure,-1,1203,True
2025-09-01 19:55:01.977,arrival,1,1204,True
2025-09-01 19:55:05.553,departure,-1,1203,True
2025-09-01 19:55:08.401,departure,-1,1202,True
2025-09-01 19:57:12.804,departure,-1,1201,True
2025-09-01 19:58:51.638,arrival,1,1202,True
2025-09-01 19:59:15.738,arrival,1,1203,True
2025-09-01 20:02:07.659,arrival,1,1204,True
2025-09-01 20:02:11.217,arrival,1,1205,True
2025-09-01 20:03:39.508,arrival,1,1206,True
