time,event,delta,inventory,at_capacity,at_empty
2025-09-03 09:04:42.054,arrival,1,23,True,False
2025-09-03 09:11:30.521,departure,-1,22,False,False
2025-09-03 09:16:41.739,departure,-1,21,False,False
2025-09-03 09:18:42.634,arrival,1,22,False,False
2025-09-03 09:24:59.128,arrival,1,23,True,False
2025-09-03 09:31:01.856,departure,-1,22,False,False
2025-09-03 09:35:27.182,arrival,1,23,True,False
2025-09-03 09:40:06.347,departure,-1,22,False,False
2025-09-03 09:42:46.878,arrival,1,23,True,False
2025-09-03 09:50:21.397,departure,-1,22,False,False
2025-09-03 09:51:52.405,arrival,1,23,True,False
2025-09-03 10:04:23.637,departure,-1,22,False,False
2025-09-03 10:04:45.288,departure,-1,21,False,False
2025-09-03 10:04:51.938,arrival,1,22,False,False
2025-09-03 10:05:01.679,departure,-1,21,False,False
2025-09-03 10:06:32.953,arrival,1,22,False,False
2025-09-03 10:06:35.408,departure,-1,21,False,False
2025-09-03 10:06:56.081,arrival,1,22,False,False
2025-09-03 10:07:46.805,arrival,1,23,True,False
2025-09-03 10:08:07.368,arrival,1,23,True,False
2025-09-03 10:27:06.361,departure,-1,22,False,False
2025-09-03 10:27:40.757,departure,-1,21,False,False
2025-09-03 10:27:55.154,arrival,1,22,False,False
2025-09-03 10:28:19.746,arrival,1,23,True,False
2025-09-03 10:29:37.916,departure,-1,22,False,False
2025-09-03 10:34:25.120,departure,-1,21,False,False
2025-09-03 10:35:45.197,arrival,1,22,False,False
2025-09-03 10:37:55.771,arrival,1,23,True,False
2025-09-03 10:55:38.959,departure,-1,22,False,False
2025-09-03 10:55:58.770,arrival,1,23,True,False
2025-09-03 11:02:06.348,departure,-1,22,False,False
2025-09-03 11:07:28.505,arrival,1,23,True,False
2025-09-03 11:12:18.905,departure,-1,22,False,False
2025-09-03 11:19:53.750,arrival,1,23,True,False
2025-09-03 11:23:12.047,departure,-1,22,False,False
2025-09-03 11:35:51.891,departure,-1,21,False,False
2025-09-03 11:36:41.585,departure,-1,20,False,False
2025-09-03 11:37:51.097,departure,-1,19,False,False
2025-09-03 11:38:49.672,departure,-1,18,False,False
2025-09-03 11:40:31.201,departure,-1,17,False,False
2025-09-03 11:41:21.632,arrival,1,18,False,False
2025-09-03 11:44:30.282,departure,-1,17,False,False
2025-09-03 11:46:06.069,arrival,1,18,False,False
2025-09-03 11:46:21.750,arrival,1,19,False,False
2025-09-03 11:47:27.342,departure,-1,18,False,False
2025-09-03 11:48:30.547,arrival,1,19,False,False
2025-09-03 11:54:07.791,arrival,1,20,False,False
2025-09-03 11:57:01.801,arrival,1,21,False,False
2025-09-03 12:00:23.320,arrival,1,22,False,False
2025-09-03 12:01:39.379,departure,-1,21,False,False
2025-09-03 12:03:25.974,arrival,1,22,False,False
2025-09-03 12:06:35.259,departure,-1,21,False,False
2025-09-03 12:17:38.842,arrival,1,22,False,False
2025-09-03 12:20:39.749,arrival,1,23,True,False
2025-09-03 12:40:26.832,departure,-1,22,False,False
2025-09-03 12:42:03.255,departure,-1,21,False,False
2025-09-03 12:43:12.756,arrival,1,22,False,False
2025-09-03 12:44:51.634,departure,-1,21,False,False
2025-09-03 12:45:55.066,arrival,1,22,False,False
2025-09-03 12:50:14.688,departure,-1,21,False,False
2025-09-03 12:51:09.914,departure,-1,20,False,False
2025-09-03 12:56:32.150,arrival,1,21,False,False
2025-09-03 12:56:48.841,arrival,1,22,False,False
2025-09-03 12:57:48.247,departure,-1,21,False,False
2025-09-03 12:58:38.287,departure,-1,20,False,False
2025-09-03 13:01:19.746,arrival,1,21,False,False
2025-09-03 13:02:32.089,departure,-1,20,False,False
2025-09-03 13:03:04.075,arrival,1,21,False,False
2025-09-03 13:05:50.517,arrival,1,22,False,False
2025-09-03 13:06:14.515,arrival,1,23,True,False
2025-09-03 13:06:55.367,arrival,1,23,True,False
2025-09-03 13:15:07.148,departure,-1,22,False,False
2025-09-03 13:16:06.548,arrival,1,23,True,False
2025-09-03 13:18:40.862,departure,-1,22,False,False
2025-09-03 13:20:37.594,arrival,1,23,True,False
2025-09-03 13:30:16.740,departure,-1,22,False,False
2025-09-03 13:42:48.577,departure,-1,21,False,False
2025-09-03 13:42:56.456,arrival,1,22,False,False
2025-09-03 13:55:47.981,arrival,1,23,True,False
2025-09-03 13:56:19.407,arrival,1,23,True,False
2025-09-03 13:56:39.178,arrival,1,23,True,False
2025-09-03 13:58:05.307,arrival,1,23,True,False
2025-09-03 13:59:04.005,arrival,1,23,True,False
2025-09-03 14:00:16.250,arrival,1,23,True,False
2025-09-03 14:02:15.113,departure,-1,22,False,False
2025-09-03 14:02:31.671,arrival,1,23,True,False
2025-09-03 14:06:31.248,departure,-1,22,False,False
2025-09-03 14:06:32.612,departure,-1,21,False,False
2025-09-03 14:08:08.699,arrival,1,22,False,False
2025-09-03 14:09:20.187,arrival,1,23,True,False
2025-09-03 14:28:05.964,departure,-1,22,False,False
2025-09-03 14:29:05.746,departure,-1,21,False,False
2025-09-03 14:29:24.732,departure,-1,20,False,False
2025-09-03 14:29:30.643,arrival,1,21,False,False
2025-09-03 14:30:13.892,departure,-1,20,False,False
2025-09-03 14:30:24.647,arrival,1,21,False,False
2025-09-03 14:30:38.798,arrival,1,22,False,False
2025-09-03 14:31:38.873,departure,-1,21,False,False
2025-09-03 14:32:09.081,departure,-1,20,False,False
2025-09-03 14:32:11.894,departure,-1,19,False,False
2025-09-03 14:33:55.278,departure,-1,18,False,False
2025-09-03 14:34:13.184,arrival,1,19,False,False
2025-09-03 14:52:46.380,departure,-1,18,False,False
2025-09-03 14:56:05.317,departure,-1,17,False,False
2025-09-03 14:59:03.673,arrival,1,18,False,False
